mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Cajuri,311020,MG,"187,2%","173,0%","73,6%","20,0%","2,4%","128,7%","115,6%","0,64","4,00","2,36","2,69","51,1%","0,0%","0,0%","0,0%","0,0%","26,5%",,,"0,0%","130,4%","7,80","3,0%","38,4%","11,1%","15,7%",GH6,SE
Caldas,311030,MG,"71,3%","64,8%","58,2%","32,7%","5,8%","66,6%","20,3%","0,11","4,80","2,54","2,09","50,9%","0,0%","0,0%","0,0%","0,0%","39,7%",,"100,0%","100,0%","158,8%","2,33","11,9%","24,8%","9,6%","16,7%",GH5,SE
Camacho,311040,MG,"95,1%","145,3%","61,5%","32,1%","5,1%","90,9%","42,1%","0,03","3,13","1,98","2,08","52,1%","0,0%","0,0%","0,0%","0,0%","38,7%",,,"100,0%","116,7%","3,07","11,7%","24,6%","12,2%","15,2%",GH5,SE
Camanducaia,311050,MG,"131,8%","37,7%","70,3%","22,4%","4,9%","60,9%","7,6%","0,32","4,32","1,82","1,76","48,3%","0,0%","0,0%","0,0%","0,0%","35,7%",,"33,3%","66,7%","89,0%","2,44","2,0%","39,3%","10,3%","15,8%",GH3,SE
Cambuí,311060,MG,"60,0%","46,4%","73,0%","21,8%","3,2%","75,7%","5,1%","0,23","5,19","2,15","1,76","44,1%","0,0%","0,0%","0,0%","0,0%","40,3%",,"66,7%",,"90,0%","3,74","3,2%","35,0%","12,2%","13,5%",GH3,SE
Cambuquira,311070,MG,"115,6%","75,7%","72,4%","20,6%","5,1%","77,3%","28,9%","0,10","5,22","1,55","2,80","54,0%","0,0%","0,0%","0,0%","0,0%","44,0%",,"71,4%","100,0%","117,8%","0,05","14,2%","58,1%","9,8%","17,6%",GH5,SE
Campanário,311080,MG,"179,8%","132,1%","58,0%","33,3%","8,7%","65,3%","20,8%","0,11","4,09","2,03","1,28","53,0%","0,0%","0,0%","0,0%","0,0%","46,7%",,"75,0%","100,0%","113,6%","28,10","11,8%","54,5%","10,6%","15,6%",GH6,SE
Campanha,311090,MG,"86,9%","75,0%","56,1%","24,2%","4,6%","85,7%","22,2%","0,07","6,58","2,72","2,35","56,3%","0,0%","0,0%","0,0%","0,0%","57,4%",,,"0,0%","100,0%","1,26","4,3%","48,5%","11,2%","15,8%",GH3,SE
Campestre,311100,MG,"32,9%","13,3%","91,0%","7,5%","1,1%","55,3%","25,5%","0,19","5,82","2,37","2,09","49,5%","0,0%","0,0%","0,0%","0,0%","53,4%",,"62,5%","83,3%","91,0%","0,00","14,2%","11,4%","12,7%","15,5%",GH5,SE
Campina Verde,311110,MG,"78,4%","62,2%","91,3%","6,6%","1,4%","74,5%","42,1%","0,18","5,27","2,39","1,99","48,9%","0,0%","0,0%","0,0%","0,0%","34,1%",,"100,0%","100,0%","95,1%","32,29","11,8%","7,3%","12,3%","18,7%",GH3,SE
Campo Azul,311115,MG,"162,8%","81,4%","57,1%","32,9%","9,3%","54,6%","30,9%","0,01","3,09","1,09","1,87","46,6%","0,0%","0,0%","0,0%","0,0%","28,9%",,,"100,0%","195,3%","0,00","18,8%","62,9%","11,1%","15,7%",GH6,SE
Campo Belo,311120,MG,"81,7%","70,9%","58,1%","35,8%","5,7%","55,4%","39,5%","0,21","3,92","2,02","2,19","52,1%","0,0%","0,0%","0,0%","0,0%","33,2%",,"80,0%","80,0%","94,5%","4,66","6,9%","18,2%","12,1%","14,5%",GH4,SE
Campo do Meio,311130,MG,"127,0%","73,8%","59,8%","33,0%","6,4%","65,3%","32,0%","0,19","4,29","2,91","3,00","50,2%","0,0%","0,0%","0,0%","0,0%","21,5%",,"100,0%","100,0%","109,4%","0,13","8,7%","44,5%","11,8%","16,4%",GH6,SE
Campo Florido,311140,MG,"75,1%","38,8%","51,9%","38,7%","9,1%","48,3%","11,5%","0,19","2,22","3,28","3,31","52,8%","0,0%","0,0%","0,0%","0,0%","28,1%",,"100,0%","60,0%","117,9%","0,36","5,8%","42,0%","10,7%","15,6%",GH5,SE
Campos Altos,311150,MG,"90,9%","35,2%","77,5%","16,3%","3,9%","76,0%","25,0%","0,16","5,80","2,03","2,62","49,4%","0,0%","0,0%","0,0%","0,0%","52,9%",,"33,3%","100,0%","131,4%","16,74","6,7%","46,7%","12,9%","17,3%",GH5,SE
Campos Gerais,311160,MG,"68,8%","31,5%","64,2%","26,0%","6,6%","57,8%","15,4%","0,30","4,54","1,87","2,58","43,7%","0,0%","0,0%","0,0%","0,0%","33,2%",,"100,0%","100,0%","104,3%","0,00","0,0%","51,7%","9,3%","14,9%",GH4,SE
Canaã,311170,MG,"142,5%","129,6%","77,5%","16,6%","2,6%","96,1%","41,7%","0,87","3,61","2,64","4,08","51,1%","0,0%","0,0%","0,0%","0,0%","23,4%",,,,"109,4%","14,28","9,7%","45,6%","13,9%","15,6%",GH6,SE
Canápolis,311180,MG,"124,5%","112,3%","86,3%","11,4%","0,9%","64,6%","39,5%","0,20","4,65","0,87","0,74","52,5%","0,0%","0,0%","0,0%","0,0%","57,3%",,,"90,9%","92,3%","17,47","4,0%","23,6%","10,6%","15,3%",GH5,SE
Cana Verde,311190,MG,"133,0%","125,2%","73,8%","25,1%","1,1%","86,7%","34,6%","0,17","3,24","1,58","1,54","50,2%","0,0%","0,0%","0,0%","0,0%","38,9%",,,,"127,1%","0,00","9,5%","37,7%","11,5%","15,8%",GH6,SE
Candeias,311200,MG,"119,9%","119,9%","66,3%","31,4%","1,8%","74,8%","44,4%","0,08","4,71","1,88","3,05","51,1%","0,0%","0,0%","0,0%","0,0%","36,4%",,,"100,0%","125,5%","1,54","11,8%","22,9%","10,8%","17,4%",GH5,SE
Cantagalo,311205,MG,"150,3%","83,5%","78,1%","17,2%","3,1%","93,8%","42,9%","0,20","4,38","0,34","1,75","54,1%","0,0%","0,0%","0,0%","0,0%","40,6%",,"100,0%","100,0%","91,7%","5,43","0,0%","58,4%","10,0%","16,2%",GH6,SE
Caparaó,311210,MG,"147,1%","48,0%","71,9%","20,1%","7,0%","84,9%","39,3%","0,03","5,30","2,31","5,54","49,3%","0,0%","0,0%","0,0%","0,0%","35,2%",,,"100,0%","115,9%","4,06","12,1%","30,4%","10,7%","16,2%",GH6,SE
Capela Nova,311220,MG,"199,7%","126,1%","51,3%","46,1%","1,9%","67,3%","39,9%","0,49","3,37","1,55","2,60","55,6%","0,0%","0,0%","0,0%","0,0%","38,3%",,,,"107,0%","3,94","11,2%","32,6%","11,7%","16,6%",GH6,SE
Capelinha,311230,MG,"90,4%","64,3%","66,6%","25,7%","5,6%","88,8%","45,6%","0,25","4,79","1,64","1,61","49,5%","0,0%","0,0%","0,0%","0,0%","58,1%",,"83,3%","100,0%","104,0%","0,84","7,8%","66,2%","15,3%","16,0%",GH4,SE
Capetinga,311240,MG,"99,8%","14,1%","55,3%","35,0%","8,1%","71,3%","40,5%","0,14","2,65","1,96","1,85","50,3%","0,0%","0,0%","0,0%","0,0%","31,5%",,"100,0%",,"113,9%","1,97","5,3%","43,3%","9,6%","16,7%",GH5,SE
Capim Branco,311250,MG,"83,3%","50,7%","61,6%","29,6%","6,0%","73,4%","42,3%","0,40","3,26","2,26","2,45","53,2%","0,0%","0,0%","0,0%","0,0%","30,3%",,"100,0%","100,0%","115,0%","3,74","13,3%","47,0%","14,2%","15,9%",GH5,SE
Capinópolis,311260,MG,"89,8%","91,5%","91,7%","7,0%","0,7%","81,4%","54,0%","0,25","2,93","2,77","2,26","46,5%","0,0%","0,0%","0,0%","0,0%","32,2%",,"50,0%","100,0%","100,0%","19,05","11,6%","31,1%","10,4%","15,2%",GH5,SE
Capitão Andrade,311265,MG,"145,4%","86,2%","62,9%","26,7%","10,4%","98,9%","9,6%","0,07","4,03","1,55","1,43","52,0%","0,0%","0,0%","0,0%","0,0%","30,5%",,"100,0%","75,0%","109,1%","2,15","0,7%","50,1%","11,5%","15,7%",GH6,SE
Capitão Enéas,311270,MG,"113,4%","98,5%","50,3%","38,6%","10,1%","87,3%","17,3%","0,17","4,79","1,95","2,57","53,2%","0,0%","0,0%","0,0%","0,0%","54,9%",,"100,0%","91,7%","127,1%","3,14","11,4%","65,9%","13,0%","15,4%",GH5,SE
Capitólio,311280,MG,"136,3%","145,6%","78,0%","16,8%","4,2%","89,9%","63,6%","0,33","4,75","3,13","2,33","44,8%","0,0%","0,0%","0,0%","0,0%","27,0%",,"0,0%","0,0%","110,6%","0,10","3,3%","44,4%","10,6%","15,6%",GH5,SE
Caputira,311290,MG,"143,2%","99,6%","48,1%","41,0%","9,9%","50,8%","16,6%","0,16","2,88","1,77","3,20","53,0%","0,0%","0,0%","0,0%","0,0%","24,3%",,"66,7%","100,0%","98,0%","0,09","10,8%","45,8%","10,5%","15,9%",GH6,SE
Caraí,311300,MG,"110,1%","81,7%","42,1%","40,8%","14,3%","49,0%","9,4%","0,03","4,49","0,83","0,41","50,2%","0,0%","0,0%","0,0%","0,0%","53,5%","1,37","60,0%","83,3%","77,0%","0,00","11,6%","63,1%","13,7%","16,1%",GH6,SE
Caranaíba,311310,MG,"123,2%","152,1%","61,5%","35,8%","2,8%","84,9%","11,8%","0,29","3,21","1,89","2,51","53,2%","0,0%","0,0%","0,0%","0,0%","41,3%",,"100,0%",,"100,0%","3,22","11,4%","34,9%","10,6%","16,8%",GH6,SE
Carandaí,311320,MG,"55,8%","33,6%","58,0%","35,0%","6,0%","60,8%","49,2%","0,24","4,08","2,65","3,55","50,2%","0,0%","0,0%","0,0%","0,0%","48,3%","1,51","100,0%","66,7%","111,0%","0,00","21,1%","35,2%","15,0%","15,4%",GH5,SE
Carangola,311330,MG,"61,9%","55,7%","78,7%","15,6%","3,4%","53,9%","37,4%","0,11","6,67","2,83","3,34","50,9%","0,2%","0,0%","0,2%","0,0%","32,2%","1,29","85,7%","100,0%","93,6%","0,00","8,5%","30,0%","11,7%","17,1%",GH4,SE
Caratinga,311340,MG,"77,3%","40,1%","62,9%","30,2%","5,7%","67,4%","24,9%","0,35","2,93","2,58","2,27","42,7%","0,2%","0,0%","0,1%","0,0%","27,8%",,"73,9%","84,6%","105,7%","13,47","4,5%","41,4%","11,7%","12,3%",GH4,SE
Carbonita,311350,MG,"121,0%","117,4%","73,3%","24,4%","1,5%","113,8%","34,1%","0,07","5,21","1,25","1,50","51,8%","0,0%","0,0%","0,0%","0,0%","47,0%",,,"100,0%","132,2%","6,34","2,5%","56,8%","10,4%","15,1%",GH6,SE
Careaçu,311360,MG,"104,2%","91,2%","82,9%","13,4%","1,9%","93,7%","22,7%","0,48","8,77","2,82","3,55","47,8%","0,0%","0,0%","0,0%","0,0%","56,4%",,"100,0%","100,0%","84,3%","4,84","0,0%","49,2%","11,8%","16,8%",GH5,SE
Carlos Chagas,311370,MG,"90,0%","80,9%","55,9%","32,0%","9,3%","107,1%","7,9%","0,05","6,06","1,11","1,18","47,5%","0,0%","0,0%","0,0%","0,0%","58,9%","1,55","75,0%","80,0%","99,6%","17,00","10,0%","61,3%","11,1%","14,5%",GH6,SE
Carmésia,311380,MG,"122,0%","122,0%","68,1%","30,2%","1,7%","125,4%","66,0%","0,28","3,78","1,53","2,10","53,2%","0,0%","0,0%","0,0%","0,0%","31,9%",,"100,0%",,"94,6%","10,87","7,1%","71,1%","11,5%","15,8%",GH6,SE
Carmo da Cachoeira,311390,MG,"106,3%","160,4%","76,6%","15,4%","4,7%","95,0%","32,2%","0,11","5,07","1,56","2,73","49,4%","0,0%","0,0%","0,0%","0,0%","37,2%",,"100,0%","100,0%","112,1%","8,02","9,0%","52,3%","8,9%","15,3%",GH6,SE
Carmo da Mata,311400,MG,"77,8%","68,6%","61,2%","32,5%","4,5%","53,3%","11,8%","0,09","4,48","2,32","2,06","49,4%","0,0%","0,0%","0,0%","0,0%","57,4%","1,95","100,0%","100,0%","136,2%","0,00","3,3%","37,3%","12,3%","16,4%",GH6,SE
Carmo de Minas,311410,MG,"121,8%","142,5%","70,5%","23,8%","4,3%","64,0%","30,6%","0,03","5,25","1,74","2,03","46,1%","0,0%","0,0%","0,0%","0,0%","41,3%",,"100,0%","100,0%","97,0%","2,90","5,0%","36,8%","8,9%","15,8%",GH6,SE
Carmo do Cajuru,311420,MG,"90,5%","64,9%","75,9%","21,0%","2,1%","49,4%","28,8%","0,32","1,88","2,26","3,09","44,9%","0,0%","0,0%","0,0%","0,0%","23,8%",,"100,0%","0,0%","101,1%","3,85","4,5%","44,7%","13,7%","16,5%",GH5,SE
Carmo do Paranaíba,311430,MG,"80,2%","34,7%","79,7%","16,7%","3,0%","85,4%","29,9%","0,12","4,42","1,94","1,55","45,8%","0,0%","0,0%","0,0%","0,0%","37,4%","1,78","0,0%","100,0%","107,4%","14,95","6,8%","40,6%","10,8%","16,7%",GH3,SE
Carmo do Rio Claro,311440,MG,"56,8%","29,4%","81,1%","16,2%","1,4%","55,3%","70,0%","0,33","4,92","2,80","2,67","47,1%","0,0%","0,0%","0,0%","0,0%","32,5%",,"100,0%","100,0%","73,4%","0,10","7,0%","33,6%","7,1%","15,3%",GH3,SE
Carmópolis de Minas,311450,MG,"73,8%","17,6%","57,0%","34,3%","6,8%","75,9%","52,3%","0,34","4,05","1,98","1,95","54,4%","0,0%","0,0%","0,0%","0,0%","47,6%",,"80,0%","100,0%","107,9%","4,61","7,1%","30,2%","10,2%","14,6%",GH5,SE
Carneirinho,311455,MG,"147,7%","166,5%","56,1%","39,2%","4,1%","83,0%","26,1%","0,16","2,89","2,67","1,99","51,0%","0,0%","0,0%","0,0%","0,0%","47,6%",,"66,7%","100,0%","112,9%","4,41","13,1%","22,7%","10,9%","15,6%",GH5,SE
Carrancas,311460,MG,"155,0%","147,6%","82,8%","14,1%","1,6%","101,2%","55,1%","0,20","4,47","1,26","1,85","46,1%","0,0%","0,0%","0,0%","0,0%","32,3%",,"100,0%",,"70,8%","2,14","3,1%","48,8%","11,0%","15,2%",GH5,SE
Carvalhópolis,311470,MG,"167,9%","89,6%","74,0%","22,9%","2,3%","60,4%","43,9%","0,08","2,82","2,92","2,92","53,1%","0,0%","0,0%","0,0%","0,0%","33,6%",,,,"104,9%","0,00","0,0%","41,8%","11,3%","16,6%",GH5,SE
Carvalhos,311480,MG,"145,6%","166,8%","82,7%","13,4%","1,6%","72,8%","31,4%","0,10","6,08","0,63","1,67","50,3%","0,0%","0,0%","0,0%","0,0%","39,5%",,"100,0%",,"93,5%","0,53","2,8%","40,5%","11,6%","16,0%",GH6,SE
Casa Grande,311490,MG,"162,4%","89,2%","56,9%","37,9%","3,4%","130,1%","0,5%","0,17","3,79","1,63","2,85","54,0%","0,0%","0,0%","0,0%","0,0%","46,2%",,,,"57,1%","0,00","1,6%","49,4%","9,7%","15,2%",GH5,SE
Cascalho Rico,311500,MG,"131,5%","140,0%","73,8%","23,1%","3,1%","60,6%","28,1%","0,41","2,11","2,94","2,50","51,3%","0,0%","0,0%","0,0%","0,0%","25,2%",,,,"88,0%","9,54","7,0%","26,2%","10,3%","15,8%",GH5,SE
Cássia,311510,MG,"68,2%","41,6%","71,6%","24,9%","2,6%","79,6%","42,0%","0,21","8,13","3,36","3,15","47,0%","0,0%","0,0%","0,0%","0,0%","44,3%",,"100,0%","100,0%","94,8%","4,41","1,7%","37,5%","10,9%","17,0%",GH3,SE
Conceição da Barra de Minas,311520,MG,"94,5%","66,3%","57,4%","36,9%","3,3%","96,0%","29,8%","0,23","3,88","1,79","2,77","52,3%","0,0%","0,0%","0,0%","0,0%","28,3%",,,,"131,7%","0,00","6,6%","38,3%","10,8%","16,6%",GH6,SE
Cataguases,311530,MG,"86,5%","77,5%","59,4%","32,2%","6,2%","49,9%","41,9%","0,73","5,09","3,09","2,81","44,3%","0,0%","0,0%","0,0%","0,0%","31,1%","2,03","77,8%","100,0%","99,5%","11,82","4,2%","24,2%","13,1%","21,4%",GH3,SE
Catas Altas,311535,MG,"143,3%","108,5%","82,3%","12,2%","1,7%","86,5%","55,8%","0,28","3,32","1,89","3,10","52,9%","0,0%","0,0%","0,0%","0,0%","34,8%",,"0,0%","100,0%","140,0%","3,73","2,0%","52,0%","10,0%","16,0%",GH5,SE
Catas Altas da Noruega,311540,MG,"105,7%","86,7%","51,5%","40,2%","6,8%","48,2%","3,5%","0,13","3,50","1,34","1,86","51,3%","0,0%","0,0%","0,0%","0,0%","38,3%",,"100,0%",,"136,1%","4,79","18,2%","37,2%","10,6%","15,5%",GH6,SE
Catuji,311545,MG,"134,5%","89,5%","43,2%","40,6%","12,8%","105,6%","22,0%","0,08","2,88","1,55","1,24","47,0%","0,0%","0,0%","0,0%","0,0%","56,4%",,"80,0%",,"89,0%","6,07","13,3%","69,6%","13,5%","15,8%",GH6,SE
Catuti,311547,MG,"90,8%","88,2%","86,5%","10,1%","0,5%","170,9%","26,4%","0,47","2,82","1,64","1,81","46,2%","0,0%","0,0%","0,0%","0,0%","37,8%",,"75,0%",,"108,3%","0,35","16,2%","53,1%","9,9%","15,7%",GH6,SE
Caxambu,311550,MG,"41,4%","59,9%","65,4%","26,9%","6,1%","59,5%","20,7%","0,20","5,17","1,96","2,23","51,8%","0,0%","0,0%","0,0%","0,0%","48,4%",,"83,3%","100,0%","104,0%","2,46","5,9%","26,0%","11,1%","16,6%",GH4,SE
Cedro do Abaeté,311560,MG,"274,0%","364,4%","55,3%","42,1%","2,6%","89,7%","14,5%","0,65","6,08","0,86","2,51","52,3%","0,0%","0,0%","0,0%","0,0%","33,7%",,,"100,0%","100,0%","14,74","2,0%","48,5%","10,7%","15,5%",GH5,SE
Central de Minas,311570,MG,"88,6%","88,6%","69,7%","24,6%","4,4%","75,6%","16,4%","0,18","5,86","1,77","1,16","51,1%","0,0%","0,0%","0,0%","0,0%","39,0%",,"50,0%","100,0%","102,1%","0,33","3,8%","27,3%","11,0%","16,0%",GH6,SE
Centralina,311580,MG,"90,1%","97,4%","71,5%","24,4%","1,6%","79,1%","23,2%","0,15","0,85","1,38","1,14","52,8%","0,0%","0,0%","0,0%","0,0%","26,1%",,"100,0%","87,5%","164,4%","20,83","8,4%","24,7%","10,8%","15,5%",GH5,SE
Chácara,311590,MG,"213,4%","71,6%","58,2%","30,9%","3,6%","79,9%","56,0%","0,17","3,78","3,87","3,32","46,1%","0,0%","0,0%","0,0%","0,0%","29,9%",,"100,0%",,"153,3%","1,63","2,5%","47,8%","10,3%","15,9%",GH5,SE
Chalé,311600,MG,"108,3%","106,3%","75,2%","22,5%","1,8%","35,3%","27,9%","0,11","3,13","2,28","3,66","54,1%","0,0%","0,0%","0,0%","0,0%","34,5%",,,"50,0%","215,7%","9,39","10,0%","26,8%","10,3%","16,3%",GH6,SE
Chapada do Norte,311610,MG,"115,9%","97,3%","53,8%","40,3%","4,1%","90,9%","30,1%","0,08","4,05","1,29","1,32","54,8%","0,0%","0,0%","0,0%","0,0%","56,9%",,"100,0%",,"117,3%","4,12","7,0%","73,3%","10,3%","16,2%",GH6,SE
Chapada Gaúcha,311615,MG,"81,1%","57,1%","29,5%","54,6%","14,3%","60,2%","2,0%","0,02","1,60","0,81","1,05","49,4%","0,0%","0,0%","0,0%","0,0%","25,0%",,,"100,0%","112,6%","1,54","13,5%","62,9%","10,4%","15,4%",GH6,SE
Chiador,311620,MG,"173,2%","143,6%","45,2%","46,4%","1,2%","113,6%","3,3%","0,15","4,92","2,96","2,31","49,3%","0,0%","0,0%","0,0%","0,0%","45,9%",,"0,0%",,"118,2%","3,61","8,4%","63,3%","10,3%","16,0%",GH5,SE
Cipotânea,311630,MG,"142,2%","187,1%","56,5%","40,3%","2,6%","84,9%","24,5%","0,33","5,31","1,60","3,02","51,2%","0,0%","0,0%","0,0%","0,0%","33,1%",,,"100,0%","135,6%","9,48","8,3%","53,9%","12,5%","15,4%",GH6,SE
Claraval,311640,MG,"107,1%","105,6%","78,5%","12,3%","6,2%","93,7%","34,7%","0,04","0,85","0,44","1,35","52,1%","0,0%","0,0%","0,0%","0,0%","22,9%",,,"100,0%","261,9%","2,02","11,3%","48,3%","9,7%","15,8%",GH5,SE
Claro dos Poções,311650,MG,"119,4%","115,7%","78,4%","18,8%","2,0%","114,6%","45,3%","0,20","3,17","2,16","3,12","47,8%","0,0%","0,0%","0,0%","0,0%","27,8%",,"100,0%","0,0%","115,7%","5,23","5,5%","60,9%","10,1%","15,0%",GH6,SE
Cláudio,311660,MG,"75,9%","49,8%","79,5%","18,0%","1,4%","72,1%","33,0%","0,20","5,26","2,49","2,93","41,6%","0,0%","0,0%","0,0%","0,0%","46,3%",,"100,0%","100,0%","98,8%","11,23","7,4%","29,6%","9,2%","16,2%",GH3,SE
Coimbra,311670,MG,"117,8%","113,4%","80,8%","16,7%","1,7%","75,4%","46,8%","0,85","4,82","2,70","4,42","48,5%","0,0%","0,0%","0,0%","0,0%","28,1%",,"100,0%",,"85,5%","8,74","10,1%","31,2%","10,3%","15,8%",GH6,SE
Coluna,311680,MG,"66,5%","88,7%","70,3%","21,4%","7,1%","99,3%","17,4%","0,14","4,78","1,05","1,02","53,1%","0,0%","0,0%","0,0%","0,0%","55,1%",,"0,0%",,"102,2%","10,17","8,8%","59,9%","13,1%","15,7%",GH6,SE
Comendador Gomes,311690,MG,"135,2%","168,2%","70,5%","23,9%","4,5%","86,0%","28,8%","0,47","1,63","1,55","2,23","52,0%","0,0%","0,0%","0,0%","0,0%","32,5%",,"0,0%","0,0%","117,6%","7,34","0,3%","33,5%","10,3%","15,6%",GH5,SE
Comercinho,311700,MG,"126,4%","141,4%","49,5%","43,4%","5,1%","71,4%","16,9%","0,05","2,66","0,58","0,48","55,0%","0,0%","0,0%","0,0%","0,0%","38,6%",,"100,0%","100,0%","244,2%","0,02","10,3%","70,0%","11,2%","14,8%",GH6,SE
Conceição da Aparecida,311710,MG,"102,2%","40,8%","77,0%","18,9%","3,0%","63,6%","34,1%","0,19","4,30","2,60","2,53","52,9%","0,0%","0,0%","0,0%","0,0%","29,8%",,,"66,7%","110,9%","1,54","0,0%","26,7%","10,3%","15,2%",GH5,SE
Conceição das Pedras,311720,MG,"130,4%","151,6%","81,3%","15,0%","3,8%","71,9%","50,6%","0,12","2,97","2,54","3,19","54,3%","0,0%","0,0%","0,0%","0,0%","19,6%",,"0,0%",,"131,6%","24,65","4,6%","34,6%","10,4%","15,2%",GH5,SE
Conceição das Alagoas,311730,MG,"100,0%","85,7%","78,2%","16,9%","3,4%","75,1%","29,5%","0,31","3,93","3,06","4,03","48,8%","0,0%","0,0%","0,0%","0,0%","34,7%","2,10","55,6%","42,9%","108,5%","147,35","7,6%","35,5%","14,5%","16,4%",GH5,SE
Conceição de Ipanema,311740,MG,"162,1%","67,2%","86,6%","12,4%","0,0%","53,9%","17,1%","0,20","5,73","1,28","3,14","55,9%","0,0%","0,0%","0,0%","0,0%","45,7%",,,"100,0%","139,3%","1,10","7,2%","28,9%","11,4%","14,9%",GH6,SE
Conceição do Mato Dentro,311750,MG,"46,1%","48,4%","51,3%","37,7%","10,0%","64,9%","20,2%","0,13","4,88","0,96","1,27","58,2%","0,0%","0,0%","0,0%","0,0%","44,2%",,"20,0%","100,0%","240,2%","8,33","9,8%","65,2%","10,7%","15,2%",GH6,SE
Conceição do Pará,311760,MG,"138,4%","104,9%","45,9%","50,0%","1,2%","73,7%","41,2%","0,26","3,79","1,55","2,33","48,5%","0,0%","0,0%","0,0%","0,0%","41,8%",,"100,0%","100,0%","72,0%","1,19","10,6%","45,9%","11,2%","16,6%",GH5,SE
Conceição do Rio Verde,311770,MG,"72,9%","65,3%","67,9%","23,7%","7,3%","84,4%","27,5%","0,12","3,83","1,62","2,70","49,3%","0,0%","0,0%","0,0%","0,0%","48,5%",,"25,0%","100,0%","136,6%","0,00","14,0%","34,9%","11,2%","16,5%",GH5,SE
Conceição dos Ouros,311780,MG,"69,8%","17,8%","74,3%","22,1%","2,2%","51,7%","10,1%","0,42","2,26","1,43","1,77","57,9%","0,0%","0,0%","0,0%","0,0%","25,0%",,,"100,0%","96,6%","5,40","14,6%","31,0%","10,6%","15,1%",GH5,SE
Cônego Marinho,311783,MG,"127,0%","127,0%","67,8%","26,7%","5,1%","123,7%","22,7%","0,13","2,17","0,94","0,52","50,2%","0,0%","0,0%","0,0%","0,0%","35,4%","1,99",,"100,0%","120,5%","1,53","7,1%","63,4%","10,7%","16,1%",GH6,SE
Confins,311787,MG,"200,2%","84,1%","71,2%","23,6%","4,7%","74,4%","22,1%","0,39","2,81","1,75","1,82","51,1%","0,0%","0,0%","0,0%","0,0%","21,4%",,,"100,0%","122,9%","30,01","1,8%","32,5%","10,5%","16,6%",GH5,SE
Congonhal,311790,MG,"68,7%","47,7%","78,1%","15,6%","5,0%","79,7%","7,7%","0,22","2,45","2,58","2,28","48,7%","0,0%","0,0%","0,0%","0,0%","22,2%",,"100,0%",,"87,1%","8,76","0,0%","34,4%","8,9%","14,3%",GH5,SE
Congonhas,311800,MG,"72,7%","53,5%","81,6%","14,6%","2,6%","46,3%","14,9%","0,66","4,11","1,92","2,59","40,8%","0,0%","0,0%","0,0%","0,0%","25,4%",,"78,6%","75,0%","122,8%","0,47","3,5%","34,3%","13,1%","15,7%",GH3,SE
Congonhas do Norte,311810,MG,"151,4%","60,6%","50,0%","41,1%","7,0%","93,4%","41,3%","0,10","2,46","1,02","1,09","52,3%","0,0%","0,0%","0,0%","0,0%","33,3%",,,,"146,0%","0,78","11,1%","64,0%","10,5%","16,9%",GH6,SE
Conquista,311820,MG,"97,9%","180,0%","66,8%","28,4%","3,7%","66,9%","17,7%","0,50","4,77","3,39","2,83","52,1%","0,0%","0,0%","0,0%","0,0%","37,0%",,"100,0%",,"168,4%","0,00","6,8%","40,5%","13,2%","16,4%",GH5,SE
Conselheiro Lafaiete,311830,MG,"63,3%","34,4%","70,2%","25,0%","4,0%","44,0%","36,4%","0,50","4,80","3,24","2,25","44,2%","0,7%","0,0%","0,1%","0,0%","43,5%",,"76,0%","83,3%","97,4%","8,17","3,6%","20,2%","16,7%","15,8%",GH3,SE
Conselheiro Pena,311840,MG,"67,0%","39,7%","63,3%","28,8%","6,9%","68,9%","10,1%","0,14","4,14","1,41","1,18","48,8%","0,0%","0,0%","0,0%","0,0%","35,4%",,"92,9%","85,7%","94,5%","1,38","17,0%","31,3%","9,9%","15,7%",GH5,SE
Consolação,311850,MG,"244,2%","231,6%","78,8%","19,2%","1,9%","93,3%","43,8%","0,30","4,97","2,04","1,37","52,3%","0,0%","0,0%","0,0%","0,0%","33,0%",,,,"166,7%","6,21","38,1%","40,2%","10,0%","15,5%",GH6,SE
Contagem,311860,MG,"57,6%","13,6%","73,5%","20,5%","4,4%","46,6%","32,3%","0,67","2,82","3,38","2,15","55,5%","0,4%","0,0%","0,0%","0,0%","29,5%","2,40","67,8%","79,3%","108,6%","1,85","3,6%","51,4%","8,2%","22,6%",GH2,SE
Coqueiral,311870,MG,"96,9%","92,4%","74,7%","18,8%","4,9%","96,5%","47,0%","0,07","2,45","3,18","3,47","47,6%","0,0%","0,0%","0,0%","0,0%","25,3%",,"100,0%","100,0%","119,2%","1,09","1,7%","46,1%","10,8%","14,9%",GH5,SE
Coração de Jesus,311880,MG,"105,4%","68,2%","38,0%","43,7%","15,1%","71,4%","8,7%","0,21","3,94","1,35","2,00","43,2%","0,0%","0,0%","0,0%","0,0%","38,1%",,"66,7%","100,0%","108,6%","0,35","5,9%","62,3%","11,4%","15,2%",GH4,SE
